,APMC,Commodity,2014,2015,2016
603,Chandrapur,pigeon pea (tur),4539,7825,7825
604,Chandrapur,pineapple,50,46,46
605,Chandrapur,pomegranate,6115,7786,7786
606,Chandrapur,soybean,3299,3852,3852
607,Chandrapur,water melon,0,680,680
608,Chandur Bajar,black gram,5075,11625,11625
609,Chandur Bajar,gram,2843,5202,5202
610,Chandur Bajar,pigeon pea (tur),5108,10100,10100
611,Chandur Bajar,sorgum(jawar),1550,1623,1623
612,Chandur Bajar,soybean,3411,3909,3909
613,Chandur Bajar,wheat(husked),1800,1688,1688
614,Chandur Rly.,cotton,4053,4329,4329
615,Chandur Rly.,gram,0,4178,4178
616,Chandur Rly.,green gram,6500,9206,9206
617,Chandur Rly.,pigeon pea (tur),4792,11942,11942
618,Chandur Rly.,soybean,3299,3784,3784
619,Chandur Rly.,wheat(husked),1500,1565,1565
620,Chandvad,cucumber,0,1430,1430
621,Chandvad,ladies finger,0,3783,3783
622,Chandvad,onion,1673,2417,2417
623,Chandvad,tomato,0,1953,1953
624,Chikhali,black gram,5701,10887,10887
625,Chikhali,gram,3076,4594,4594
626,Chikhali,green gram,8350,7600,7600
627,Chikhali,maize,1198,1335,1335
628,Chikhali,pigeon pea (tur),5101,9385,9385
629,Chikhali,sorgum(jawar),1455,1470,1470
630,Chikhali,soybean,3321,3834,3834
631,Chikhali,wheat(husked),1645,1667,1667
632,Chimur,cotton,4181,4297,4297
633,Chimur,gram,2695,3580,3580
634,Chimur,paddy-unhusked,2201,2100,2100
635,Chimur,pigeon pea (tur),0,8667,8667
636,Chimur,soybean,3240,3511,3511
637,Chopda,bajri,1353,1520,1520
638,Chopda,black gram,5005,10404,10404
639,Chopda,gram,2722,4751,4751
640,Chopda,green gram,7548,8528,8528
641,Chopda,ground nut pods (dry),3600,5325,5325
642,Chopda,maize,1148,1434,1434
643,Chopda,pigeon pea (tur),0,7201,7201
644,Chopda,sesamum,10400,8692,8692
645,Chopda,sorgum(jawar),1629,1804,1804
646,Chopda,soybean,3344,3673,3673
647,Chopda,sunflower,2863,3104,3104
648,Chopda,wheat(husked),1601,1613,1613
649,Darwha,cotton,4050,4219,4219
650,Darwha,soybean,3257,3760,3760
651,Daryapur,black gram,5513,11600,11600
652,Daryapur,gram,3014,5583,5583
653,Daryapur,green gram,8313,10830,10830
654,Daryapur,pigeon pea (tur),5455,10561,10561
655,Daryapur,sorgum(jawar),1377,2045,2045
656,Daryapur,soybean,3266,3786,3786
657,Deglur,black gram,5789,12305,12305
658,Deglur,green gram,7557,8644,8644
659,Deulgaon Raja,cotton,4070,4582,4582
660,Devala,bajri,1555,1573,1573
661,Devala,black gram,5262,10450,10450
662,Devala,cowpea,2667,4755,4755
663,Devala,gram,3677,5496,5496
664,Devala,green gram,7969,8853,8853
665,Devala,green peas (dry),0,2705,2705
666,Devala,horse gram,3035,3767,3767
667,Devala,maize,1290,1512,1512
668,Devala,matki,6345,8800,8800
669,Devala,onion,1764,2379,2379
670,Devala,pigeon pea (tur),4105,9152,9152
671,Devala,rice(paddy-hus),1511,1630,1630
672,Devala,sorgum(jawar),2761,2499,2499
673,Devala,soup berries,0,1000,1000
674,Devala,tag,3200,3105,3105
675,Devala,tamarind,0,1841,1841
676,Devala,wheat(husked),1635,1658,1658
677,Devani,gram,0,4531,4531
678,Devani,pigeon pea (tur),0,8916,8916
679,Devani,soybean,0,3766,3766
680,Dhadgaon,bhagar-vari,0,0,0
681,Dhadgaon,maize,0,1230,1230
682,Dhadgaon,sorgum(jawar),0,1200,1200
683,Dhamangaon-Rly,cotton,4060,4430,4430
684,Dhamangaon-Rly,gram,2738,4800,4800
685,Dhamangaon-Rly,pigeon pea (tur),5006,8576,8576
686,Dhamangaon-Rly,soybean,3512,3781,3781
687,Dhamangaon-Rly,wheat(husked),1534,1641,1641
688,Dharangaon,bajri,0,0,0
689,Dharangaon,maize,0,0,0
690,Dharangaon,sorgum(jawar),0,0,0
691,Dharangaon,wheat(husked),0,0,0
692,Dharni,chino,0,0,0
693,Dharni,cotton,0,4000,4000
694,Dharni,maize,0,0,0
695,Dharni,sorgum(jawar),0,0,0
696,Dharni,soybean,0,3200,3200
697,Dharni,wheat(husked),0,1400,1400
698,Dhule,bajri,1512,1637,1637
699,Dhule,black gram,5893,10890,10890
700,Dhule,castor seed,3275,3331,3331
701,Dhule,chillies(red),6564,11500,11500
702,Dhule,cowpea,4210,3995,3995
703,Dhule,gram,3053,5020,5020
704,Dhule,green gram,7706,8820,8820
705,Dhule,ground nut pods (dry),5151,5970,5970
706,Dhule,horse gram,4325,4000,4000
707,Dhule,maize,1274,1581,1581
708,Dhule,matki,6190,7707,7707
709,Dhule,onion,1904,2697,2697
710,Dhule,pigeon pea (tur),5395,9146,9146
711,Dhule,sesamum,10983,9108,9108
712,Dhule,sorgum(jawar),2234,1901,1901
713,Dhule,soybean,3281,3818,3818
714,Dhule,wheat(husked),1768,2004,2004
715,Digras,bajri,0,2105,2105
716,Digras,black gram,0,10431,10431
717,Digras,cotton,4038,4100,4100
718,Digras,gram,2410,4358,4358
719,Digras,green gram,0,8900,8900
720,Digras,pigeon pea (tur),4818,9608,9608
721,Digras,sesamum,0,7605,7605
722,Digras,sorgum(jawar),0,1573,1573
723,Digras,soybean,3287,3763,3763
724,Digras,wheat(husked),0,1783,1783
725,Dindori-Vani,onion,1814,2789,2789
726,Dindori,onion,1938,1849,1849
727,Dondaicha-Sindkheda,bajri,0,1366,1366
728,Dondaicha-Sindkheda,gram,0,0,0
729,Dondaicha-Sindkheda,green gram,0,0,0
730,Dondaicha-Sindkheda,maize,0,1313,1313
731,Dondaicha-Sindkheda,matki,0,0,0
732,Dondaicha-Sindkheda,sorgum(jawar),0,1369,1369
733,Dondaicha-Sindkheda,wheat(husked),0,1513,1513
734,Dondaicha,bajri,1518,1523,1523
735,Dondaicha,black gram,5260,10001,10001
736,Dondaicha,chillies(red),2950,4658,4658
737,Dondaicha,gram,3077,4823,4823
738,Dondaicha,green gram,8320,8652,8652
739,Dondaicha,ground nut pods (dry),4366,5894,5894
740,Dondaicha,maize,1450,1544,1544
741,Dondaicha,matki,6824,8000,8000
742,Dondaicha,pigeon pea (tur),4082,8690,8690
743,Dondaicha,sorgum(jawar),1859,2039,2039
744,Dondaicha,wheat(husked),1750,1989,1989
745,Dound,bajri,1639,1975,1975
746,Dound,cowpea,0,7000,7000
747,Dound,gram,2641,4527,4527
748,Dound,green gram,8000,8800,8800
749,Dound,lemon,0,451,451
750,Dound,maize,1240,1663,1663
751,Dound,pigeon pea (tur),0,7282,7282
752,Dound,sorgum(jawar),2736,2585,2585
753,Dound,wheat(husked),1881,2143,2143
754,Dudhani,bajri,1625,1598,1598
755,Dudhani,black gram,6662,10462,10462
756,Dudhani,gram,2992,4978,4978
757,Dudhani,green gram,7453,8850,8850
758,Dudhani,maize,1278,1555,1555
759,Dudhani,pigeon pea (tur),5163,12006,12006
760,Dudhani,sorgum(jawar),1787,2452,2452
761,Dudhani,wheat(husked),1605,2021,2021
762,Fulambri,cotton,0,4669,4669
763,Fulambri,maize,1015,1310,1310
764,Gadchiroli,paddy-unhusked,2212,2254,2254
765,Gadhinglaj,chillies(red),42556,45114,45114
766,Gadhinglaj,jaggery,3139,3095,3095
767,Gangakhed,cotton,0,4370,4370
768,Gangakhed,soybean,3119,3737,3737
769,Gangapur,bajri,1543,1723,1723
770,Gangapur,gram,2756,4633,4633
771,Gangapur,green gram,7923,8195,8195
772,Gangapur,maize,1319,1728,1728
773,Gangapur,onion,2011,2578,2578
774,Gangapur,pigeon pea (tur),4874,8700,8700
775,Gangapur,sorgum(jawar),2016,1809,1809
776,Gangapur,soybean,3326,3622,3622
777,Gangapur,wheat(husked),1735,1902,1902
778,Gevrai,bajri,1495,1851,1851
779,Gevrai,black gram,0,8800,8800
780,Gevrai,cotton,4044,4240,4240
781,Gevrai,gram,2576,4792,4792
782,Gevrai,green gram,7793,8684,8684
783,Gevrai,ground nut pods (dry),3200,5000,5000
784,Gevrai,maize,1233,1447,1447
785,Gevrai,matki,6894,7800,7800
786,Gevrai,mustard,0,3700,3700
787,Gevrai,pigeon pea (tur),5112,13085,13085
788,Gevrai,safflower,0,2400,2400
789,Gevrai,sesamum,12138,10270,10270
790,Gevrai,sorgum(jawar),2370,2254,2254
791,Gevrai,soybean,5727,3778,3778
792,Gevrai,sunflower,3000,3422,3422
793,Gevrai,wheat(husked),1788,2229,2229
794,Ghansawangi,bajri,1600,1725,1725
795,Ghansawangi,cotton,4020,4330,4330
796,Ghansawangi,gram,0,4600,4600
797,Ghansawangi,green gram,6450,7950,7950
798,Ghansawangi,pigeon pea (tur),0,8388,8388
799,Ghansawangi,sorgum(jawar),0,1800,1800
800,Ghansawangi,soybean,3288,3967,3967
801,Ghansawangi,wheat(husked),1850,2200,2200
802,Ghatanji,cotton,4038,4368,4368
803,Ghatanji,gram,0,3800,3800
804,Ghatanji,pigeon pea (tur),0,8344,8344
805,Ghatanji,soybean,3225,3551,3551
806,Ghoti,bitter gourd,3026,3077,3077
807,Ghoti,brinjal,2788,2400,2400
808,Ghoti,cabbage,1777,1575,1575
809,Ghoti,capsicum,0,1900,1900
810,Ghoti,cucumber,3000,3500,3500
811,Ghoti,flower,1867,1780,1780
812,Ghoti,ladies finger,3000,3893,3893
813,Ghoti,paddy-unhusked,2266,2142,2142
814,Ghoti,tomato,3455,2729,2729
815,Gondiya,paddy-unhusked,1482,1742,1742
816,Gondpimpri,gram,0,4075,4075
817,Gondpimpri,paddy-unhusked,2121,2272,2272
818,Gondpimpri,pigeon pea (tur),4450,7000,7000
819,Gondpimpri,soybean,3054,3779,3779
820,Goregaon,paddy-unhusked,1628,1662,1662
821,Hadgaon-Tamsa,gram,0,0,0
822,Hadgaon-Tamsa,pigeon pea (tur),0,9148,9148
823,Hadgaon-Tamsa,soybean,0,3536,3536
824,Hadgaon,cotton,4140,4358,4358
825,Hadgaon,gram,0,4300,4300
826,Hadgaon,pigeon pea (tur),4533,8800,8800
827,Hadgaon,soybean,3750,3674,3674
828,Hadgaon,wheat(husked),1800,1770,1770
829,Hinganghat,cotton,0,4378,4378
830,Hinganghat,gram,2788,4723,4723
831,Hinganghat,pigeon pea (tur),5095,10522,10522
832,Hinganghat,soybean,3484,4011,4011
833,Hinganghat,wheat(husked),0,1576,1576
834,Hingna,pigeon pea (tur),0,7500,7500
835,Hingna,soybean,3263,3567,3567
836,Hingoli,black gram,4996,11203,11203
837,Hingoli,cotton,0,4769,4769
838,Hingoli,gram,0,5197,5197
839,Hingoli,green gram,7268,8201,8201
840,Hingoli,ground nut pods (dry),4077,5750,5750
841,Hingoli,pigeon pea (tur),5045,9769,9769
842,Hingoli,sorgum(jawar),1709,1774,1774
843,Hingoli,soybean,3389,3820,3820
844,Hingoli,turmeric,6530,10700,10700
845,Hingoli,wheat(husked),1791,2260,2260
846,Indapur (Nimgaon Ketki),bajri,0,1638,1638
847,Indapur (Nimgaon Ketki),gram,0,4141,4141
848,Indapur (Nimgaon Ketki),maize,0,1599,1599
849,Indapur (Nimgaon Ketki),sorgum(jawar),0,2156,2156
850,Indapur (Nimgaon Ketki),wheat(husked),0,1699,1699
851,Indapur-Bhigwan,bajri,1838,2006,2006
852,Indapur-Bhigwan,black gram,3167,10038,10038
853,Indapur-Bhigwan,chillies(red),4500,10467,10467
854,Indapur-Bhigwan,coriander (dry),10100,11000,11000
855,Indapur-Bhigwan,cowpea,4400,6225,6225
856,Indapur-Bhigwan,ghevda seed,24756,3800,3800
857,Indapur-Bhigwan,gram,2767,4863,4863
858,Indapur-Bhigwan,green gram,7375,8367,8367
859,Indapur-Bhigwan,green peas (dry),0,2800,2800
860,Indapur-Bhigwan,ground nut pods (dry),3480,6000,6000
861,Indapur-Bhigwan,horse gram,3367,4125,4125
862,Indapur-Bhigwan,maize,1406,1641,1641
863,Indapur-Bhigwan,matki,5300,9100,9100
864,Indapur-Bhigwan,pavtta,0,3375,3375
865,Indapur-Bhigwan,pigeon pea (tur),3825,8940,8940
866,Indapur-Bhigwan,rice(paddy-hus),1463,1548,1548
867,Indapur-Bhigwan,safflower,2500,2950,2950
868,Indapur-Bhigwan,sesamum,0,8625,8625
869,Indapur-Bhigwan,sorgum(jawar),2650,3076,3076
870,Indapur-Bhigwan,soybean,3085,3484,3484
871,Indapur-Bhigwan,sunflower,2850,3263,3263
872,Indapur-Bhigwan,wheat(husked),2300,2550,2550
873,Indapur-Bhigwan,wheat(unhusked),2901,3156,3156
874,Indapur,bajri,1741,1750,1750
875,Indapur,banana,1255,1632,1632
876,Indapur,black gram,0,8250,8250
877,Indapur,chillies(red),0,7533,7533
878,Indapur,cowpea,2951,5600,5600
879,Indapur,gram,2400,4336,4336
880,Indapur,green gram,8000,8451,8451
881,Indapur,ground nut pods (dry),0,5533,5533
882,Indapur,jaggery,0,2454,2454
883,Indapur,maize,1261,1617,1617
884,Indapur,onion,1229,2704,2704
885,Indapur,pigeon pea (tur),0,9050,9050
886,Indapur,pomegranate,12725,13400,13400
887,Indapur,rice(paddy-hus),0,1441,1441
888,Indapur,sesamum,0,6300,6300
889,Indapur,sorgum(jawar),3000,2604,2604
890,Indapur,soybean,0,3409,3409
891,Indapur,sunflower,3100,3418,3418
892,Indapur,wheat(husked),0,2511,2511
893,Islampur,brinjal,200,0,0
894,Islampur,flower,0,350,350
895,Islampur,tomato,170,160,160
896,Jafrabad,cotton,4007,4335,4335
897,Jafrabad,gram,0,3763,3763
898,Jafrabad,green gram,0,8000,8000
899,Jafrabad,maize,1375,1421,1421
900,Jafrabad,sorgum(jawar),1100,1200,1200
901,Jafrabad,soybean,3221,3667,3667
902,Jafrabad,wheat(husked),1600,1579,1579
903,Jalgaon Jamod-Aasalgaon,black gram,5183,8000,8000
904,Jalgaon Jamod-Aasalgaon,gram,2514,4450,4450
905,Jalgaon Jamod-Aasalgaon,green gram,7875,10000,10000
906,Jalgaon Jamod-Aasalgaon,maize,1200,1236,1236
907,Jalgaon Jamod-Aasalgaon,pigeon pea (tur),4840,9200,9200
908,Jalgaon Jamod-Aasalgaon,sorgum(jawar),1319,1457,1457
909,Jalgaon Jamod-Aasalgaon,soybean,3314,3763,3763
910,Jalgaon Jamod-Aasalgaon,wheat(husked),1567,1542,1542
911,Jalgaon Jamod,gram,2250,4000,4000
912,Jalgaon Jamod,green gram,6750,6200,6200
913,Jalgaon Jamod,ground nut pods (dry),3710,5413,5413
914,Jalgaon Jamod,maize,1086,1279,1279
915,Jalgaon Jamod,pigeon pea (tur),4600,6850,6850
916,Jalgaon Jamod,sorgum(jawar),1175,1500,1500
917,Jalgaon Jamod,soybean,3233,3483,3483
918,Jalgaon Jamod,wheat(husked),1514,1500,1500
919,Jalgaon-Masawat,maize,0,0,0
920,Jalgaon,amla,1925,1647,1647
921,Jalgaon,apple,7833,7500,7500
922,Jalgaon,bajri,1449,1532,1532
923,Jalgaon,banana,494,461,461
924,Jalgaon,bitter gourd,3788,4412,4412
925,Jalgaon,black gram,5495,11709,11709
926,Jalgaon,bor,2278,2500,2500
927,Jalgaon,brinjal,2600,2350,2350
928,Jalgaon,cabbage,1065,1335,1335
929,Jalgaon,carrot,0,1359,1359
930,Jalgaon,chavli (shenga ),4729,4333,4333
931,Jalgaon,chikoo,0,2500,2500
932,Jalgaon,cluster bean,4367,4372,4372
933,Jalgaon,coriander  ,5048,5818,5818
934,Jalgaon,coriander (dry),12293,11542,11542
935,Jalgaon,cotton,4050,4100,4100
936,Jalgaon,cucumber,1500,1767,1767
937,Jalgaon,custard apple,6300,5150,5150
938,Jalgaon,flower,2306,3246,3246
939,Jalgaon,garlic,4000,14000,14000
940,Jalgaon,ginger (fresh),5715,4416,4416
941,Jalgaon,gram,3156,4445,4445
942,Jalgaon,grapes,0,4200,4200
943,Jalgaon,green chilli,3228,3584,3584
944,Jalgaon,green gram,7286,8559,8559
945,Jalgaon,guava,2125,2050,2050
946,Jalgaon,jaggery,3501,2811,2811
947,Jalgaon,ladies finger,2868,3837,3837
948,Jalgaon,lemon,3589,4722,4722
949,Jalgaon,maize(corn.),1160,1140,1140
950,Jalgaon,maize,1300,1517,1517
951,Jalgaon,mango(raw),0,2920,2920
952,Jalgaon,mango,0,4512,4512
953,Jalgaon,melon,850,1325,1325
954,Jalgaon,methi (bhaji),3650,5341,5341
955,Jalgaon,mosambi,2600,4167,4167
956,Jalgaon,onion,1595,2835,2835
957,Jalgaon,orange,2165,1813,1813
958,Jalgaon,papai,1900,1467,1467
959,Jalgaon,pigeon pea (tur),4000,9900,9900
960,Jalgaon,pomegranate,7225,8167,8167
961,Jalgaon,potato,2382,1344,1344
962,Jalgaon,shevga,0,4000,4000
963,Jalgaon,sorgum(jawar),1592,1537,1537
964,Jalgaon,soybean,3288,3400,3400
965,Jalgaon,spinach,2038,2006,2006
966,Jalgaon,squash gourd,1300,2000,2000
967,Jalgaon,tomato,2531,1889,1889
968,Jalgaon,wal papdi,2317,2600,2600
969,Jalgaon,wheat(husked),1494,1854,1854
970,Jalkot,black gram,4813,9700,9700
971,Jalkot,green gram,6638,8213,8213
972,Jalkot,pigeon pea (tur),0,9500,9500
973,Jalkot,sorgum(jawar),0,1526,1526
974,Jalkot,soybean,3438,3787,3787
975,Jalna-Badnapur,bajri,1450,1392,1392
976,Jalna-Badnapur,cotton,4050,4355,4355
977,Jalna-Badnapur,maize,1175,1350,1350
978,Jalna-Badnapur,pigeon pea (tur),0,9188,9188
979,Jalna-Badnapur,sorgum(jawar),3051,1500,1500
980,Jalna,bajri,1762,1828,1828
981,Jalna,banana,942,1000,1000
982,Jalna,black gram,5321,11314,11314
983,Jalna,castor seed,3200,3240,3240
984,Jalna,cotton,4193,4143,4143
985,Jalna,gram,2927,4809,4809
986,Jalna,green gram,8071,9016,9016
987,Jalna,jaggery,2707,2556,2556
988,Jalna,maize,1249,1498,1498
989,Jalna,matki,0,9776,9776
990,Jalna,mosambi,1696,2550,2550
991,Jalna,mustard,4450,3800,3800
992,Jalna,pigeon pea (tur),5206,10827,10827
993,Jalna,rajgira,6233,5750,5750
994,Jalna,safflower,2275,2475,2475
995,Jalna,sesamum,11384,8000,8000
996,Jalna,sorgum(jawar),2705,2788,2788
997,Jalna,soybean,3300,4538,4538
998,Jalna,sunflower,2400,3000,3000
999,Jalna,wheat(husked),1699,2179,2179
1000,Jamkhed,bajri,1503,1833,1833
1001,Jamkhed,black gram,6119,9700,9700
1002,Jamkhed,gram,0,3890,3890
1003,Jamkhed,green gram,7167,7500,7500
1004,Jamkhed,onion,2133,3239,3239
1005,Jamkhed,pigeon pea (tur),5050,8824,8824
1006,Jamkhed,sorgum(jawar),3239,3211,3211
1007,Jamkhed,soybean,3280,3742,3742
1008,Jamkhed,wheat(husked),2400,2368,2368
1009,Jamner-Neri,cotton,4050,4316,4316
1010,Jamner-Neri,maize,0,1393,1393
1011,Jamner,cotton,4050,4324,4324
1012,Jamner,maize,0,1402,1402
1013,Jawala-Bajar,cotton,4045,4213,4213
1014,Jawala-Bajar,gram,0,3383,3383
1015,Jawala-Bajar,pigeon pea (tur),4350,8733,8733
1016,Jawala-Bajar,sorgum(jawar),0,1800,1800
1017,Jawala-Bajar,soybean,3240,3730,3730
1018,Jawala-Bajar,turmeric,0,8033,8033
1019,Jawala-Bajar,wheat(husked),1900,1790,1790
1020,Jintur-Bori,gram,2487,4500,4500
1021,Jintur-Bori,green gram,7528,7813,7813
1022,Jintur-Bori,pigeon pea (tur),4576,8567,8567
1023,Jintur-Bori,safflower,2463,2688,2688
1024,Jintur-Bori,sorgum(jawar),1362,1578,1578
1025,Jintur-Bori,soybean,3323,3763,3763
1026,Jintur-Bori,wheat(husked),1599,1723,1723
1027,Jintur,black gram,5362,10594,10594
1028,Jintur,cotton,4050,4372,4372
1029,Jintur,gram,2955,4400,4400
1030,Jintur,green gram,7748,8499,8499
1031,Jintur,ground nut pods (dry),3685,5692,5692
1032,Jintur,pigeon pea (tur),4347,8833,8833
1033,Jintur,sorgum(jawar),1867,1853,1853
1034,Jintur,soybean,3309,3876,3876
1035,Jintur,turmeric,5632,9301,9301
1036,Jintur,wheat(husked),1729,2001,2001
1037,Junnar (Alephata),onion,2242,1785,1785
1038,Junnar (Alephata),pomegranate,0,0,0
1039,Junnar (Narayangaon),coriander  ,5502,0,0
1040,Junnar (Narayangaon),math (bhaji),6137,0,0
1041,Junnar (Narayangaon),tomato,2293,3516,3516
1042,Junnar-Otur,beet root,0,1500,1500
1043,Junnar-Otur,bottle gourd,0,4000,4000
1044,Junnar-Otur,brinjal,0,1000,1000
1045,Junnar-Otur,cabbage,0,700,700
1046,Junnar-Otur,capsicum,0,2000,2000
1047,Junnar-Otur,carrot,0,0,0
1048,Junnar-Otur,chavli (shenga ),0,1500,1500
1049,Junnar-Otur,cluster bean,0,0,0
1050,Junnar-Otur,cucumber,0,1200,1200
1051,Junnar-Otur,farshi,0,2000,2000
1052,Junnar-Otur,flower,0,1000,1000
1053,Junnar-Otur,ghevda,0,3000,3000
1054,Junnar-Otur,green chilli,0,4000,4000
1055,Junnar-Otur,ladies finger,0,500,500
1056,Junnar-Otur,onion,2644,1850,1850
1057,Junnar-Otur,potato,1720,1425,1425
1058,Junnar-Otur,small gourd,0,3000,3000
1059,Junnar-Otur,walvad,0,2200,2200
1060,Junnar,onion,2288,2631,2631
1061,Junnar,potato,1650,1430,1430
1062,Kada (Ashti),bajri,1365,1315,1315
1063,Kada (Ashti),black gram,6067,7400,7400
1064,Kada (Ashti),gram,0,4180,4180
1065,Kada (Ashti),green gram,6800,7656,7656
1066,Kada (Ashti),maize,1380,1300,1300
1067,Kada (Ashti),pigeon pea (tur),0,5400,5400
1068,Kada (Ashti),sorgum(jawar),0,2550,2550
1069,Kada (Ashti),soybean,2701,3500,3500
1070,Kada (Ashti),wheat(husked),2100,1846,1846
1071,Kada,bajri,1695,1626,1626
1072,Kada,black gram,6007,10513,10513
1073,Kada,gram,2706,4638,4638
1074,Kada,green gram,8150,8051,8051
1075,Kada,maize,1407,1597,1597
1076,Kada,onion,2075,4450,4450
1077,Kada,pigeon pea (tur),4807,9025,9025
1078,Kada,sorgum(jawar),3189,2963,2963
1079,Kada,soybean,3315,3575,3575
1080,Kada,sunflower,3138,3500,3500
1081,Kada,tamarind,0,5194,5194
1082,Kada,wheat(husked),2023,2120,2120
1083,Kalamb (Os),bajri,1721,1653,1653
1084,Kalamb (Os),black gram,5572,9035,9035
1085,Kalamb (Os),castor seed,3350,3570,3570
1086,Kalamb (Os),coriander (dry),32563,10303,10303
1087,Kalamb (Os),gram,2832,5045,5045
1088,Kalamb (Os),green gram,8053,9096,9096
1089,Kalamb (Os),ground nut pods (dry),4325,5031,5031
1090,Kalamb (Os),jaggery,2550,2521,2521
1091,Kalamb (Os),maize,1295,1774,1774
1092,Kalamb (Os),mustard,0,3751,3751
1093,Kalamb (Os),pigeon pea (tur),4414,12197,12197
1094,Kalamb (Os),safflower,2422,2831,2831
1095,Kalamb (Os),sesamum,8737,8482,8482
1096,Kalamb (Os),sorgum(jawar),2148,2350,2350
1097,Kalamb (Os),soybean,3353,3886,3886
1098,Kalamb (Os),sunflower,2988,3466,3466
1099,Kalamb (Os),tamarind,0,4672,4672
1100,Kalamb (Os),wheat(husked),2025,3186,3186
1101,Kalamb (Yawatmal),pigeon pea (tur),0,8069,8069
1102,Kalamb (Yawatmal),soybean,3307,3696,3696
1103,Kalamnuri,cotton,4275,4300,4300
1104,Kalamnuri,gram,3200,4000,4000
1105,Kalamnuri,pigeon pea (tur),0,8000,8000
1106,Kalamnuri,sorgum(jawar),0,1600,1600
1107,Kalamnuri,soybean,4000,3505,3505
1108,Kalamnuri,wheat(husked),1600,1600,1600
1109,Kalmeshwar,bottle gourd,0,1070,1070
1110,Kalmeshwar,brinjal,1846,1712,1712
1111,Kalmeshwar,cabbage,0,648,648
1112,Kalmeshwar,chavli (shenga ),2573,3031,3031
1113,Kalmeshwar,cluster bean,0,2300,2300
1114,Kalmeshwar,coriander  ,3412,6238,6238
1115,Kalmeshwar,cotton,4023,4508,4508
1116,Kalmeshwar,cucumber,1526,1558,1558
1117,Kalmeshwar,flower,1842,2119,2119
1118,Kalmeshwar,gram,2406,4511,4511
1119,Kalmeshwar,green chilli,3658,3370,3370
1120,Kalmeshwar,ladies finger,2723,2240,2240
1121,Kalmeshwar,methi (bhaji),1676,2088,2088
1122,Kalmeshwar,pigeon pea (tur),4361,7299,7299
1123,Kalmeshwar,pumpkin,900,1279,1279
1124,Kalmeshwar,raddish,775,1359,1359
1125,Kalmeshwar,soybean,3362,3981,3981
1126,Kalmeshwar,spinach,1475,2092,2092
1127,Kalmeshwar,tomato,2284,2320,2320
1128,Kalmeshwar,walvad,4200,4492,4492
1129,Kalmeshwar,wheat(husked),1450,1643,1643
1130,Kalvan,bajri,1460,1520,1520
1131,Kalvan,gram,2645,4701,4701
1132,Kalvan,green gram,7500,7976,7976
1133,Kalvan,ground nut pods (dry),5384,7844,7844
1134,Kalvan,maize,1304,1544,1544
1135,Kalvan,onion,1900,2848,2848
1136,Kalvan,pigeon pea (tur),3100,9450,9450
1137,Kalvan,soybean,3376,6304,6304
1138,Kalvan,sunflower,3000,4726,4726
1139,Kalvan,wheat(husked),1684,2455,2455
1140,Kalyan,apple,0,13500,13500
1141,Kalyan,bajri,0,1875,1875
1142,Kalyan,banana,1000,8000,8000
1143,Kalyan,bitter gourd,3600,4280,4280
1144,Kalyan,black gram,0,11700,11700
1145,Kalyan,bor,1800,3500,3500
1146,Kalyan,bottle gourd,1400,1527,1527
1147,Kalyan,brinjal,3500,2848,2848
1148,Kalyan,cabbage,900,1200,1200
1149,Kalyan,capsicum,3250,3183,3183
1150,Kalyan,carrot,0,2275,2275
1151,Kalyan,chikoo,0,3500,3500
1152,Kalyan,cluster bean,3750,4500,4500
1153,Kalyan,coriander (dry),0,25000,25000
1154,Kalyan,cucumber,0,1604,1604
1155,Kalyan,curry leaves,0,0,0
1156,Kalyan,custard apple,4000,5400,5400
1157,Kalyan,elephant root,1800,3906,3906
1158,Kalyan,flower,1700,1525,1525
1159,Kalyan,garlic,5500,13110,13110
1160,Kalyan,ghevda,3550,4422,4422
1161,Kalyan,gr.nut kernels,0,9700,9700
1162,Kalyan,gram,0,10000,10000
1163,Kalyan,grapes,0,9346,9346
1164,Kalyan,green chilli,3600,4359,4359
1165,Kalyan,green gram,0,9400,9400
1166,Kalyan,green peas (dry),0,5000,5000
1167,Kalyan,green-peas,4950,9219,9219
1168,Kalyan,guava,2200,6000,6000
1169,Kalyan,indian bean,0,6567,6567
1170,Kalyan,jaggery,0,4000,4000
1171,Kalyan,ladies finger,10000,2800,2800
1172,Kalyan,lemon,0,4500,4500
1173,Kalyan,mango,0,5000,5000
1174,Kalyan,matki,0,11000,11000
1175,Kalyan,mosambi,0,4086,4086
1176,Kalyan,onion,1867,3006,3006
1177,Kalyan,orange,0,5000,5000
1178,Kalyan,papai,1700,2506,2506
1179,Kalyan,potato,1950,2153,2153
1180,Kalyan,rice(paddy-hus),0,4700,4700
1181,Kalyan,ridge gourd,4000,4200,4200
1182,Kalyan,sesamum,0,12040,12040
1183,Kalyan,shevga,2650,6500,6500
1184,Kalyan,small gourd,3500,4000,4000
1185,Kalyan,sorgum(jawar),0,2600,2600
1186,Kalyan,squash gourd,1000,1000,1000
1187,Kalyan,tomato,2400,3200,3200
1188,Kalyan,wheat(husked),0,2317,2317
1189,Kamthi,amla,3000,3000,3000
1190,Kamthi,beet root,4000,4750,4750
1191,Kamthi,bitter gourd,5000,5571,5571
1192,Kamthi,bottle gourd,2064,1329,1329
1193,Kamthi,brinjal,1947,2672,2672
1194,Kamthi,cabbage,2768,2414,2414
1195,Kamthi,capsicum,5684,5045,5045
